imdb_id	douban_id	blog_link	title	directors	actors	countries	genres	release_date	watch_date	is_tv	imdb_rating	douban_rating	rating	auto_update	updated_date
tt1434423	3734112	NA	风声	陈国富, 高群书	周迅, 李冰冰, 张涵予	中国大陆	犯罪, 剧情, 惊悚	2009-09-29	NA	FALSE	7.4	8.3	7	1	2021-04-11
tt0417741	1433330	NA	哈利·波特与混血王子	大卫·叶茨	丹尼尔·雷德克里夫, 迈克尔·刚本, 大卫·勒格诺	英国, 美国	奇幻, 冒险	2009-07-15	NA	FALSE	7.6	8.1	8	1	2021-04-11
tt0860906	2567646	NA	福音战士新剧场版：破	庵野秀明, 摩砂雪, 鹤卷和哉	绪方惠美, 林原惠美, 宫村优子	日本	剧情, 科幻, 动画	2009-06-27	NA	FALSE	8	9.3	8	1	2021-04-11
tt1028532	3011091	NA	忠犬八公的故事	拉斯·霍尔斯道姆	理查·基尔, 萨拉·罗默尔, 琼·艾伦	美国, 英国	剧情	2009-06-13	NA	FALSE	8.1	9.4	8	1	2021-04-11
tt1267160	3158990	NA	海角七号	魏德圣	范逸臣, 田中千绘, 中孝介	中国台湾	喜剧, 剧情, 爱情	2009-02-14	NA	FALSE	6.9	7.6	7	1	2021-04-11
tt1129442	3018122	NA	玩命快递3	奥利维尔·米加顿	杰森·斯坦森, 娜塔尔雅·卢达科娃, 弗朗索瓦·贝莱昂	法国	动作, 犯罪	2009-02-12	NA	FALSE	6.1	7	7	1	2021-04-11
tt0465580	1946776	NA	异能	保罗·麦圭根	克里斯·埃文斯, 达科塔·范宁, 卡米拉·贝勒	加拿大, 英国, 美国	动作, 科幻, 惊悚	2009-02-06	NA	FALSE	6.1	6	7	1	2021-04-11
tt1019454	3072804	NA	护送钱斯	罗斯·卡兹	凯文·贝肯, 萨拉·汤普森, 佩姬-图柯	美国	剧情, 战争	2009-01-16	NA	FALSE	7.4	8.2	9	1	2021-04-11
tt0421715	1485260	NA	本杰明·巴顿奇事	大卫·芬奇	凯特·布兰切特, 布拉德·皮特, 朱莉娅·奥蒙德	美国	剧情, 爱情, 奇幻	2008-12-25	NA	FALSE	7.8	8.9	8	1	2021-04-11
tt1236370	3082452	NA	狼牙	李忠志, 吴京	吴京, 方力申, 寇占文	中国香港	动作, 惊悚	2008-12-04	NA	FALSE	6.1	6.4	9	1	2021-04-11
tt1087906	2222995	NA	硬汉	丁晟	刘烨, 黄秋生, 尤勇智	中国大陆, 中国香港	动作, 喜剧	2008-11-28	NA	FALSE	6.1	6.2	7	1	2021-04-11
tt1329101	3305873	NA	爱的发声练习	李鼎	徐熙媛, 彭于晏, 张孝全	中国台湾	爱情	2008-11-21	NA	FALSE	4.9	5.5	5	1	2021-04-11
tt0830515	1946882	NA	007：大破量子危机	马克·福斯特	丹尼尔·克雷格, 欧嘉·柯瑞兰寇, 马修·阿马立克	英国, 美国	动作, 冒险, 惊悚	2008-11-05	NA	FALSE	6.6	6.6	7	1	2021-04-11
tt0914798	3008247	NA	穿条纹睡衣的男孩	马克·赫尔曼	阿萨·巴特菲尔德, 维拉·法米加, 卡拉·霍根	英国, 美国	剧情, 战争	2008-09-12	NA	FALSE	7.8	9.1	8	1	2021-04-11
tt0887912	2028645	NA	拆弹部队	凯瑟琳·毕格罗	杰瑞米·雷纳, 安东尼·麦凯, 布莱恩·格拉格提	美国	剧情, 惊悚, 战争	2008-09-04	NA	FALSE	7.5	7.8	8	1	2021-04-11
tt0940709	1961963	NA	长江七号	周星驰	周星驰, 徐娇, 张雨绮	中国大陆, 中国香港	喜剧, 科幻	2008-01-30	NA	FALSE	6.4	7	6	1	2021-04-11
tt0462499	1440855	NA	第一滴血4	西尔维斯特·史泰龙	西尔维斯特·史泰龙, 朱莉·本茨, 马修·马斯登	美国, 德国	动作, 惊悚	2008-01-25	NA	FALSE	7	7.5	7	1	2021-04-11
tt0454921	1849031	NA	当幸福来敲门	加布里埃莱·穆奇诺	威尔·史密斯, 贾登·史密斯, 坦迪·牛顿	美国	剧情, 传记, 家庭	2008-01-17	NA	FALSE	8	9.1	7	1	2021-04-11
tt0440963	1578507	NA	谍影重重3	保罗·格林格拉斯	马特·达蒙, 朱丽娅·斯蒂尔斯, 大卫·斯特雷泽恩	美国, 德国	动作, 悬疑, 惊悚	2007-11-15	NA	FALSE	8	8.8	7	1	2021-04-11
tt0808357	1828115	NA	色，戒	李安	梁朝伟, 汤唯, 陈冲	中国台湾, 中国大陆, 美国, 中国香港	剧情, 爱情, 情色	2007-11-01	NA	FALSE	7.5	8.5	7	1	2021-04-11
tt1193460	3033085	NA	率性而活	罗喜灿	郑在咏, 孙秉浩, 李汉伟	韩国	喜剧	2007-10-18	NA	FALSE	7.4	8.3	8	1	2021-04-11
tt0758758	1905462	NA	荒野生存	西恩·潘	埃米尔·赫斯基, 马西娅·盖伊·哈登, 威廉·赫特	美国	冒险, 传记, 剧情	2007-09-21	NA	FALSE	8.1	8.6	9	1	2021-04-11
tt1029238	2075484	NA	军鸡	郑保瑞	余文乐,刘心悠,吴镇宇,魔裟斗,郭品超	香港,日本	动作	2007-09-07	NA	FALSE	5.5	6.1	7	0	2018-10-16
tt0923811	1968790	NA	福音战士新剧场版：序	庵野秀明, 摩砂雪, 鹤卷和哉	绪方惠美, 林原惠美, 三石琴乃	日本	剧情, 科幻, 动画	2007-09-01	NA	FALSE	7.7	9.1	8	1	2021-04-11
tt0373889	1457217	NA	哈利·波特与凤凰社	大卫·叶茨	丹尼尔·雷德克里夫, 艾玛·沃森, 鲁伯特·格林特	英国, 美国	奇幻, 冒险	2007-08-10	NA	FALSE	7.5	8.3	8	1	2021-04-11
tt0995739	2080133	NA	男儿本色	陈木胜	谢霆锋, 余文乐, 房祖名	中国大陆, 中国香港	动作, 犯罪	2007-07-19	NA	FALSE	6.7	6.9	7	1	2021-04-11
tt0822854	1947549	NA	生死狙击	安东尼·福奎阿	马克·沃尔伯格, 迈克尔·佩纳, 丹尼·格洛弗	美国	剧情, 动作, 惊悚	2007-05-12	NA	FALSE	7.2	7.8	8	1	2021-04-11
tt0381061	1418190	NA	007：大战皇家赌场	马丁·坎贝尔	丹尼尔·克雷格, 伊娃·格林, 麦斯·米科尔森	英国, 捷克, 美国, 德国, 巴哈马	剧情, 动作, 惊悚	2007-01-30	NA	FALSE	8	7.6	7	1	2021-04-11
tt0907657	2053515	NA	曾经	约翰·卡尼	格伦·汉塞德, 玛可塔·伊尔格洛娃, 杰拉德·亨德里克	爱尔兰	剧情, 音乐, 爱情	2007-01-20	NA	FALSE	7.8	8.3	8	1	2021-04-11
tt1501154	2154096	NA	士兵突击	康洪雷	王宝强, 陈思诚, 段奕宏, 张译, 邢佳栋, 张国强, 李晨, 范雷, 高峰	中国大陆	剧情	2006-12-24	NA	TRUE	8.2	9.5	10	1	2023-01-08
tt0498380	1917171	NA	硫磺岛的来信	克林特·伊斯特伍德	渡边谦, 二宫和也, 加濑亮	美国	剧情, 历史, 战争	2006-12-09	NA	FALSE	7.9	8.2	8	1	2021-04-11
tt0923714	1972775	NA	向日葵	姜锡范	金来沅, 韩正洙, 金海淑	韩国	动作, 剧情	2006-11-23	NA	FALSE	7.2	7.9	NA	1	2021-04-11
tt0418689	1478066	NA	父辈的旗帜	克林特·伊斯特伍德	瑞恩·菲利普, 杰西·布拉德福特, 亚当·比奇	美国	剧情, 历史, 战争	2006-10-20	NA	FALSE	7.1	7.8	8	1	2021-04-11
tt0317919	1401533	NA	碟中谍3	J·J·艾布拉姆斯	汤姆·克鲁斯, 菲利普·塞默·霍夫曼, 文·瑞姆斯	美国, 德国	动作, 冒险, 惊悚	2006-07-20	NA	FALSE	6.9	7.6	7	1	2021-04-11
tt0821442	1827713	NA	卑劣的街头	庾河	赵寅成, 李宝英, 千虎珍	韩国	动作, 犯罪, 惊悚	2006-06-15	NA	FALSE	7.3	8	7	1	2021-04-11
tt0330373	1309055	NA	哈利·波特与火焰杯	迈克·内威尔	丹尼尔·雷德克里夫, 艾玛·沃森, 鲁伯特·格林特	英国, 美国	悬疑, 奇幻, 冒险	2005-11-18	NA	FALSE	7.7	8.6	8	1	2021-04-11
tt0388795	1418834	NA	断背山	李安	希斯·莱杰, 杰克·吉伦哈尔, 米歇尔·威廉姆斯	美国, 加拿大	剧情, 爱情, 同性	2005-09-02	NA	FALSE	7.7	8.8	8	1	2021-04-11
tt0388482	1419974	NA	玩命快递2	路易斯·莱特里尔	杰森·斯坦森, 亚历山德罗·加斯曼, 安贝·瓦莱塔	法国, 美国	动作, 犯罪	2005-08-03	NA	FALSE	6.3	7.4	7	1	2021-04-11
tt0356910	1309199	NA	史密斯夫妇	道格·里曼	布拉德·皮特, 安吉丽娜·朱莉, 文斯·沃恩	美国	喜剧, 动作, 爱情	2005-07-08	NA	FALSE	6.5	7.7	7	1	2021-04-11
tt0439630	1329562	NA	头文字D	刘伟强, 麦兆辉, 拉尔夫·里埃克曼	周杰伦, 陈冠希, 黄秋生	中国香港, 日本	剧情, 动作	2005-06-23	NA	FALSE	6.4	7.6	7	1	2021-04-11
tt0885941	2030778	NA	豪杰春香	池秉贤, 全基尚	韩彩英, 在熙, 严泰雄, 朴诗恩, 安锡焕, 文知允, 金清, 崔兰, 李仁慧	韩国	喜剧, 爱情	2005-01-03	NA	TRUE	7.7	8	8	1	2023-01-08
tt0439884	1291550	NA	天下无贼	冯小刚	刘德华, 刘若英, 王宝强	中国大陆, 中国香港	动作, 犯罪, 剧情	2004-12-09	NA	FALSE	7.2	8	7	1	2021-04-11
tt0372183	1308767	NA	谍影重重2	保罗·格林格拉斯	马特·达蒙, 布莱恩·考克斯, 琼·艾伦	美国, 德国	动作, 悬疑, 惊悚	2004-11-14	NA	FALSE	7.7	8.7	7	1	2021-04-11
tt0304141	1291544	NA	哈利·波特与阿兹卡班的囚徒	阿方索·卡隆	丹尼尔·雷德克里夫, 艾玛·沃森, 鲁伯特·格林特	英国, 美国	奇幻, 冒险	2004-09-10	NA	FALSE	7.9	8.8	8	1	2021-04-11
tt0347149	1308807	NA	哈尔的移动城堡	宫崎骏	倍赏千惠子, 木村拓哉, 美轮明宏	日本	动画, 奇幻, 冒险	2004-09-05	NA	FALSE	8.2	9.1	7	1	2021-04-11
tt0343660	1309172	NA	初恋50次	彼得·西格尔	亚当·桑德勒, 德鲁·巴里摩尔, 罗伯·施奈德	美国	喜剧, 爱情	2004-06-25	NA	FALSE	6.8	7.9	8	1	2021-04-11
tt0319262	1308779	NA	后天	罗兰·艾默里奇	丹尼斯·奎德, 杰克·吉伦哈尔, 埃米·罗森	美国	动作, 科幻, 冒险	2004-05-28	NA	FALSE	6.4	8.3	7	1	2021-04-11
tt0386064	1304972	NA	太极旗飘扬	姜帝圭	张东健, 元斌, 李恩珠	韩国	动作, 剧情, 战争	2004-02-06	NA	FALSE	8.1	8.3	7	1	2021-04-11
