isbn	douban_id	blog_link	title_zh	subtitle_zh	title	author	publisher	published_date	pages	purchasing_date	begin_reading_date	finish_reading_date	douban_rating	rating	auto_update	show	updated_date
9787544380928	30176774	NA	第一本经济学	NA	Lessons for the Young Economist	罗伯特·墨菲	海南出版社	2018-4	360	2020-02-19	NA	NA	8.7	NA	1	1	2020-02-19
9787111509271	26605978	NA	超越智商	为什么聪明人也会做蠢事	What Intelligence Tests Miss: The Psychology of Rational Thought	[美] 基思 E·斯坦诺维奇 / [加拿大] 基思·斯坦诺维奇	机械工业出版社	2015-9-15	272	2020-02-19	NA	NA	8.2	NA	1	1	2020-02-19
9787115410047	26701760	NA	社会心理学（第11版，平装版）	NA	NA	戴维·迈尔斯 (David G.Myers)	人民邮电出版社	2016-1	707	2020-02-19	NA	NA	9.3	NA	1	1	2020-02-19
9787111471066	25951835	NA	社会心理学（第8版）	阿伦森眼中的社会性动物	Social Psychology	[美] 埃略特·阿伦森 / [美] 提摩太 D.威尔逊 / [美] 罗宾 M.埃克特	机械工业出版社	2014-8-9	399	2020-02-19	NA	NA	9.1	NA	1	1	2020-02-19
9787505748149	34848926	NA	八千里路云和月	NA	NA	白先勇	中国友谊出版公司	2019-11-1	288	2019-11-01	NA	NA	7.3	NA	1	1	2020-01-24
9787544276986	33440205	NA	你当像鸟飞往你的山	NA	Educated: A Memoir	[美] 塔拉·韦斯特弗	南海出版公司	2019-10-20	388	2019-11-01	NA	NA	9	NA	1	1	2020-01-24
9787521712056	34907971	NA	俞军产品方法论	NA	NA	俞军	中信出版集团	2019-12-1	352	2019-11-01	NA	NA	8.1	NA	1	1	2020-01-24
9789571379531	34808222	NA	NA	NA	NA	NA	NA	NA	NA	2019-11-01	NA	NA	NA	NA	1	1	2020-01-24
9787508687216	30161884	NA	贫穷的本质	我们为什么摆脱不了贫穷：修订版	Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty	[印]阿比吉特·班纳吉 / [法]埃斯特·迪弗洛	中信出版集团	2018-9	317	2019-10-20	NA	NA	7.7	NA	1	1	2020-01-24
9787508633558	10785583	NA	思考，快与慢	NA	Thinking, Fast and Slow	[美] 丹尼尔·卡尼曼 / [美] Daniel Kahneman	中信出版社	2012-7	424	2019-10-16	NA	NA	8.2	NA	1	1	2020-01-24
9787508689265	30238047	NA	思维的发现	关于决策与判断的科学	NA	迈克尔·刘易斯 (Michael Lewis)	中信出版社	2018-7-1	375	2019-10-16	NA	NA	8.2	NA	1	1	2020-01-24
9787521705072	33438811	NA	为什么	关于因果关系的新科学	The Book of Why : The New Science of Cause and Effect	[美]朱迪亚·珀尔(Judea Pearl) / [美]达纳·麦肯齐(Dana Mackenzie)	中信出版集团股份有限公司	2019-7-1	374	2019-07-01	NA	NA	8.7	NA	1	1	2020-01-24
9789882116047	1919723	NA	龍應台的香港筆記 @ 沙灣徑25號	@ 沙灣徑25號	NA	龍應台	天地圖書有限公司	2006	273	2019-07-01	2019-07-18	NA	8.4	NA	1	1	2020-01-24
9789571362106	NA	NA	這樣事和誰細講	NA	NA	章詒和	時報出版	2015-3-16	368	2019-07-01	NA	NA	NA	NA	0	1	1970-01-01
9789571362106	NA	NA	伶人往事	寫給不看戲的人看	NA	章詒和	時報出版	2015-3-16	480	2019-07-01	NA	NA	NA	NA	0	1	1970-01-01
9789571362106	NA	NA	往事並不如煙	NA	NA	章詒和	時報出版	2015-3-16	448	2019-07-01	NA	NA	NA	NA	0	1	1970-01-01
9789864061594	NA	NA	我的不正經人生觀	NA	NA	黃益中	寶瓶文化	2019-5-29	256	2019-07-01	2019-07-02	NA	NA	NA	0	1	1970-01-01
9787201146669	33420594	NA	成事	冯唐品读曾国藩嘉言钞	Getting Things Done	冯唐	天津人民出版社	2019-5	280	2019-06-01	NA	NA	6.8	NA	1	1	2020-01-24
9787500871187	30431116	NA	此与彼之间	NA	NA	澎湃·镜相 编著	中国工人出版社	2019-2	304	2019-06-01	NA	NA	7.4	NA	1	1	2020-01-24
9787540488659	30352714	NA	返朴	NA	アナログ	[日]北野武	湖南文艺出版社	2019-4	200	2019-06-01	NA	NA	6.4	NA	1	1	2020-01-24
9787530213476	25803923	NA	你是我不及的梦	NA	NA	三毛	北京十月文艺出版社	2014-1	232	2019-06-01	NA	NA	7.8	NA	1	1	2020-01-24
9787530214701	26416549	NA	兰屿之歌 清泉故事	NA	NA	[美] 丁松青	北京十月文艺出版社	2015-6	376	2019-06-01	NA	NA	8.2	NA	1	1	2020-01-24
9787530214688	26608213	NA	刹那时光	NA	NA	[美]丁松青	北京十月文艺出版社	2015-9	273	2019-06-01	NA	NA	8.6	NA	1	1	2020-01-24
9787530214794	26997185	NA	亲爱的三毛	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	240	2019-06-01	NA	NA	9	NA	1	1	2020-01-24
9787530214817	26997307	NA	流星雨	NA	NA	三毛	北京十月文艺出版社	2017-3	200	2019-06-01	NA	NA	8.6	NA	1	1	2020-01-24
9787530214732	26995850	NA	雨季不再来	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	296	2019-06-01	NA	NA	8.4	NA	1	1	2020-01-24
9787530214824	26997278	NA	滚滚红尘	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	208	2019-06-01	NA	NA	8	NA	1	1	2020-01-24
9787530214749	26997273	NA	我的宝贝	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	272	2019-06-01	NA	NA	8.4	NA	1	1	2020-01-24
9787530214763	26997134	NA	送你一匹马	NA	NA	三毛	青马文化丨十月文艺出版社	2017-3	248	2019-06-01	NA	NA	8.9	NA	1	1	2020-01-24
